sector_id,line_id,weight,num_carts,x,y,cluster,annotate,cluster_mean_weight
0-1,1,30.255,2,0,0,3,0,
2-3,1,36.963,3,0,2,4,0,
6-7,1,35.044,3,0,6,4,0,
28-29,2,29.147,3,1,6,3,1,
29-30,2,28.229,2,1,7,3,0,
44-45,3,23.539,2,2,0,2,0,
101-102,3,28.064,2,2,8,3,0,
122-123,4,22.406,2,3,7,2,0,
138-139,5,14.215,1,4,1,0,0,
139-140,5,20.667,2,4,2,1,1,
140-141,5,26.346,2,4,3,3,0,
142-143,5,23.039,2,4,5,2,0,
167-168,6,16.121,1,5,8,0,0,
168-169,6,26.325000000000003,2,5,9,3,1,
181-182,7,8.577,1,6,0,0,1,
182-183,7,16.787,1,6,1,1,0,
185-186,7,25.496,2,6,4,2,1,
205-206,8,25.658,2,7,4,2,0,
207-208,8,27.713,2,7,6,3,0,
208-209,8,34.437,3,7,7,4,0,
220-221,9,18.957,2,8,1,1,0,
223-224,9,27.006,2,8,4,3,0,
235-236,10,24.029,2,9,0,2,1,
253-254,11,21.945999999999998,2,10,2,2,0,
267-268,12,33.449,3,11,2,4,0,
294-295,14,19.419999999999998,2,13,3,1,0,
295-296,14,14.94,1,13,4,0,0,
306-307,15,11.521,1,14,3,0,1,
307-308,15,18.565,2,14,4,1,0,
315-316,16,21.508,2,15,0,2,1,
317-318,16,12.85,1,15,2,0,0,
325-326,17,17.781,1,16,2,1,0,
331-332,18,20.57,2,17,0,1,0,
