,line_id,sector_id,x,y,weight
0,1,0-1,0,0,30.255
1,1,1-2,0,1,29.92
2,1,2-3,0,2,36.963
3,1,3-4,0,3,37.694
4,1,4-5,0,4,28.522
5,1,5-6,0,5,35.149
6,1,6-7,0,6,35.044
7,1,7-8,0,7,32.184
8,1,8-9,0,8,27.94
9,1,9-10,0,9,28.205
10,2,22-23,1,0,30.095
11,2,23-24,1,1,26.130000000000003
12,2,24-25,1,2,28.442999999999998
13,2,25-26,1,3,24.218
14,2,26-27,1,4,24.372999999999998
15,2,27-28,1,5,28.636000000000003
16,2,28-29,1,6,29.147
17,2,29-30,1,7,28.229
18,2,30-31,1,8,31.005000000000003
19,2,31-32,1,9,24.336
20,3,100-101,2,7,26.274
21,3,101-102,2,8,28.064
22,3,102-103,2,9,23.363
23,3,44-45,2,0,23.539
24,3,45-46,2,1,21.605
25,3,46-47,2,2,24.613999999999997
26,3,47-48,2,3,22.954
27,3,48-49,2,4,17.753
28,3,49-50,2,5,26.461
29,3,50-100,2,6,25.651
30,4,115-116,3,0,18.48
31,4,116-117,3,1,19.346
32,4,117-118,3,2,19.261
33,4,118-119,3,3,28.749000000000002
34,4,119-120,3,4,24.967
35,4,120-121,3,5,27.282
36,4,121-122,3,6,25.439
37,4,122-123,3,7,22.406
38,4,123-124,3,8,22.637999999999998
39,4,124-125,3,9,28.329
40,5,137-138,4,0,15.698
41,5,138-139,4,1,14.215
42,5,139-140,4,2,20.667
43,5,140-141,4,3,26.346
44,5,141-142,4,4,23.79
45,5,142-143,4,5,23.039
46,5,143-144,4,6,26.872
47,5,144-145,4,7,31.01
48,5,145-146,4,8,26.18
49,5,146-147,4,9,25.168
50,6,159-160,5,0,15.181
51,6,160-161,5,1,13.597
52,6,161-162,5,2,24.27
53,6,162-163,5,3,15.27
54,6,163-164,5,4,28.231
55,6,164-165,5,5,28.746000000000002
56,6,165-166,5,6,23.868000000000002
57,6,166-167,5,7,24.493
58,6,167-168,5,8,16.121
59,6,168-169,5,9,26.325000000000003
60,7,181-182,6,0,8.577
61,7,182-183,6,1,16.787
62,7,183-184,6,2,22.226
63,7,184-185,6,3,19.757
64,7,185-186,6,4,25.496
65,7,186-187,6,5,28.182000000000002
66,7,187-188,6,6,29.604
67,7,188-189,6,7,13.596
68,7,189-190,6,8,26.698999999999998
69,8,201-202,7,0,18.494
70,8,202-203,7,1,11.096
71,8,203-204,7,2,20.176
72,8,204-205,7,3,22.359
73,8,205-206,7,4,25.658
74,8,206-207,7,5,27.582
75,8,207-208,7,6,27.713
76,8,208-209,7,7,34.437
77,9,219-220,8,0,19.662
78,9,220-221,8,1,18.957
79,9,221-222,8,2,22.094
80,9,222-223,8,3,16.79
81,9,223-224,8,4,27.006
82,9,224-225,8,5,29.673000000000002
83,9,225-226,8,6,32.219
84,10,235-236,9,0,24.029
85,10,236-237,9,1,13.512
86,10,237-238,9,2,20.183999999999997
87,10,238-239,9,3,28.019
88,10,239-240,9,4,23.593
89,10,240-241,9,5,26.967
90,10,241-242,9,6,25.112000000000002
91,11,251-252,10,0,23.016
92,11,252-253,10,1,22.898
93,11,253-254,10,2,21.945999999999998
94,11,254-255,10,3,24.272
95,11,255-256,10,4,21.273
96,11,256-257,10,5,22.637999999999998
97,12,265-266,11,0,33.879000000000005
98,12,266-267,11,1,24.082
99,12,267-268,11,2,33.449
100,12,268-269,11,3,26.046
101,12,269-270,11,4,17.561999999999998
102,13,278-277,12,0,16.626
103,13,279-278,12,1,11.53
104,13,280-279,12,2,23.352
105,13,281-280,12,3,28.164
106,13,282-281,12,4,18.864
107,13,283-282,12,5,21.262
108,14,291-292,13,0,20.668
109,14,292-293,13,1,24.11
110,14,293-294,13,2,18.880000000000003
111,14,294-295,13,3,19.419999999999998
112,14,295-296,13,4,14.94
113,15,303-304,14,0,18.852
114,15,304-305,14,1,14.411
115,15,305-306,14,2,21.742
116,15,306-307,14,3,11.521
117,15,307-308,14,4,18.565
118,16,315-316,15,0,21.508
119,16,316-317,15,1,24.361
120,16,317-318,15,2,12.85
121,17,323-324,16,0,15.541
122,17,324-325,16,1,16.501
123,17,325-326,16,2,17.781
124,18,331-332,17,0,20.57
125,18,332-333,17,1,16.0
