Start;Finish;Cam;Min;Max;Mean;Median
0;1;gopro3;292321;1021956;670676,023673549;680271,5
0;1;gopro4;396739;1031941;753157,169047619;772671,5
3;2;gopro4;304831;1301502;852070,936111111;899624,5
3;2;gopro3;265593;1186383;732533,592460317;750566,5
7;6;gopro3;322272;1023556;697469,379617605;716633,5
7;6;gopro4;250696;994248;633195,49512987;617656
28;29;gopro2;169984;796756;498608,771031746;492833
28;29;gopro1;197412;631731;425620,953787879;448581
29;30;gopro1;180108;583467;375791,016908092;364289,5
29;30;gopro2;188465;677019;467379,918578644;493488
45;44;gopro4;149641;495918;336881,247222222;353430,5
45;44;gopro3;140594;504957;306950,571302662;304363
102;101;gopro4;178822;654828;457387,395238095;500096,5
102;101;gopro3;143467;646662;419401,588419913;454515,5
122;123;gopro1;217844;530251;382250,389285714;392446,5
122;123;gopro2;208220;569025;402670,313095238;410959,5
139;138;gopro3;141219;391447;278350,955830281;284365,5
139;138;gopro4;195017;528740;372750,092124542;386882,5
140;139;gopro3;204935;556422;385645,653571428;396196,5
140;139;gopro4;222313;648065;444915,695940171;459279
140;141;gopro3;172080;565058;378497,163288904;384541
140;141;gopro4;169366;536566;357567,151785714;351864,5
142;143;gopro4;147133;465641;331271,70995671;340036,5
142;143;gopro3;157115;503367;350699,298204573;360254
167;168;gopro1;114096;428486;296159,831501831;315827
167;168;gopro2;146962;470573;333855,517965368;364770,5
168;169;gopro1;144995;702552;426028,412698413;434415
168;169;gopro2;128782;736045;433421,21017316;452765,5
182;181;gopro3;65872;206164;147140,265692641;148884,5
182;183;gopro4;90753;302747;211819,164357864;221994,5
182;181;gopro4;85679;193881;148315,878571429;149503,5
182;183;gopro3;127040;309160;225051,220421245;226309
185;186;gopro4;188061;702949;455922,519388433;451202,5
185;186;gopro3;267410;730830;507739,581944444;503296,5
205;206;gopro2;222451;587913;440702,967857143;473972
205;206;gopro1;157316;529365;376547,643048618;408287
207;208;gopro1;205323;1092727;654077,365592741;646095
207;208;gopro2;243864;1210354;756906,059991806;821080,5
208;209;gopro2;140806;822049;465452,885854342;459310,5
208;209;gopro1;257115;944257;602998,558730159;631376,5
221;220;gopro4;145198;426189;301777,875707626;319930,5
221;220;gopro3;152957;448064;303120,403197946;302170
224;223;gopro3;177154;636281;407407,353535354;397639
224;223;gopro4;188725;594009;407291,982287157;420125
235;236;gopro1;201318;658158;438530,703571428;448399
235;236;gopro2;245485;832202;546687,126984127;547548,5
253;254;gopro4;158068;386116;274208,837373737;275376,5
253;254;gopro3;158068;386116;274208,837373737;275376,5
267;268;gopro1;365341;1144647;812237,204761905;868407,5
267;268;gopro2;331324;1156735;777243,218686869;833015
294;295;gopro2;146152;580270;365630,482049486;374833
294;295;gopro1;148648;537141;347604,45297619;341888
295;296;gopro2;98573;459834;305675,553679654;338248
295;296;gopro1;152385;437929;307861,09029304;311841,5
306;307;gopro3;107621;250652;179350,096645022;179149,5
306;307;gopro4;88742;231132;159956,3875;162114,5
307;308;gopro3;172955;531861;373344,966269841;393938,5
307;308;gopro4;142890;533671;362817,58531746;380068
315;316;gopro2;252608;876448;546453,40445845;544337
315;316;gopro1;199616;802422;491273,072979798;473814,5
317;318;gopro2;306142;996340;680407,658730159;692619,5
317;318;gopro1;251677;880996;626828,1;657545
325;326;gopro3;192659;532254;367312,967063492;365840
325;326;gopro4;141796;545082;358391,724242424;360332,5
331;332;gopro2;274018;686019;495519,211850649;506123
331;332;gopro1;179969;602056;400920,990781441;417426
